sample	morpho_id	mitoch_seq	mitoch_id	radseq_seq	radseq_id	status	host	site	dep.	long	lat	alt	dd	mm	yyyy	origine
19.0177a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Montpellier	Herault	43.6425	3.870833	65	2	5	2012	collection
19.0178a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve male	Pheidole pallidula	Montpellier	Herault	43.6425	3.870833	65	2	5	2012	collection
19.0179a	NA	FALSE_W	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Montpellier	Herault	43.6425	3.870833	65	2	5	2012	collection
19.0180a	NA	FALSE	NA	TRUE	myrmecophilus	larve femelle	Pheidole pallidula	Vauvenargues	Bouches-du-Rhones	43.546667	5.675556	630	22	10	2010	collection
19.0181a	NA	FALSE	NA	TRUE	myrmecophilus	larve femelle	Pheidole pallidula	Vauvenargues	Bouches-du-Rhones	43.546667	5.675556	630	22	10	2010	collection
19.0182a	M. acervorum	FALSE	NA	TRUE	acervorum	larve femelle	indet.	Esperaza	Aude	42.937778	2.204444	350	8	5	2009	collection
19.0183a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Montpellier	Herault	43.642778	3.870278	65	20	3	2013	collection
19.0184a	NA	FALSE_W	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Montpellier	Herault	43.642778	3.870278	65	20	3	2013	collection
19.0185a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Montpellier	Herault	43.642778	3.870278	65	20	3	2013	collection
19.0186a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Montpellier	Herault	43.642778	3.870278	65	20	3	2013	collection
19.0187a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eygalières	Bouches-du-Rhones	43.729444	4.954444	245	17	5	2013	collection
19.0188a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eygalières	Bouches-du-Rhones	43.729444	4.954444	245	17	5	2013	collection
19.0189a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve male	Pheidole pallidula	Eygalières	Bouches-du-Rhones	43.729444	4.954444	245	17	5	2013	collection
19.0190a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Prades-Le-Lez	Herault	43.718056	3.858889	80	6	4	2013	collection
19.0191a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
19.0192a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
19.0193a	NA	TRUE	fuscus	TRUE	fuscus	male	Pheidole pallidula	La Tour d'Aigues	Vaucluse	43.7114	5.54	240	30	6	2017	collection
19.0194a	NA	FALSE	NA	TRUE	fuscus	larve femelle	Camponotus lateralis	Vauvenargues	Bouches-du-Rhones	43.546667	5.675556	630	22	10	2010	collection
19.0195a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	indet.	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
19.0196a	M. aequispina	FALSE	NA	TRUE	myrmecophilus	larve femelle	indet.	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
19.0197a	NA	TRUE	fuscus	TRUE	fuscus	larve male	Pheidole pallidula	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
19.0198a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Mornas	Vaucluse	44.205278	4.733611	139	6	4	2009	collection
19.0199a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Mornas	Vaucluse	44.206944	4.7325	150	7	4	2009	collection
19.0200a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Mornas	Vaucluse	44.205278	4.733611	139	6	4	2009	collection
19.0201a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Mornas	Vaucluse	44.205278	4.733611	139	6	4	2009	collection
19.0202a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Mornas	Vaucluse	44.205278	4.733611	139	6	4	2009	collection
19.0203a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Mornas	Vaucluse	44.205278	4.733611	139	6	4	2009	collection
19.0204a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Mornas	Vaucluse	44.205278	4.733611	139	6	4	2009	collection
19.0205a	NA	FALSE	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Mornas	Vaucluse	44.205278	4.733611	139	6	4	2009	collection
19.0206a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
